p0,p1,post_mu2_gt_m1,H,pvalue1
0,1,1,0,2.373e-31
0.554,0.446,0.955,0.687303789923193,0.114
0,1,1,0,3.848e-06
0,1,1,0,7.497e-12
0,1,1,0,3.782e-29
0.132,0.868,0.139,0.390171016875552,0.00293
0,1,1,0,5.98e-09
0.322,0.678,0.986,0.628367820093249,0.0342
0,1,0,0,3.445e-46
0,1,0,0,3.567e-07
0,1,0,0,2.209e-12
0.706,0.294,0.782,0.605694469714336,0.481
0,1,0,0,1.377e-29
0,1,0,0,1.808e-05
0,1,1,0,1.337e-13
0,1,1,0,9.442e-15
0.745,0.255,0.921,0.567761832273967,0.564
0.599,0.401,0.945,0.673415049361049,0.161
0.308,0.692,0.339,0.617491064538849,0.0451
0.5,0.5,0.552,0.693147180559945,0.142
0,1,1,0,9.251e-22
0.746,0.254,0.862,0.566687077407423,0.944
0.409,0.591,0.976,0.676492513873627,0.0542
0.329,0.671,0.984,0.633468188072331,0.0288
0.567,0.433,0.949,0.684142117543424,0.238
0,1,0,0,3.971e-16
0,1,0,0,4.486e-08
0,1,1,0,1.76e-05
0,1,1,0,1.922e-18
0.426,0.574,0.47,0.682154843983954,0.0967
0.361,0.639,0.388,0.653991389676722,0.0529
0.475,0.525,0.944,0.69189665920508,0.175
0.472,0.528,0.961,0.691578359988849,0.097
0,1,1,0,9.174e-48
0,1,1,0,4.118e-11
0,1,1,0,1.783e-46
0.548,0.452,0.626,0.688532076450456,0.259
0.278,0.722,0.306,0.591054459095519,0.0293
0,1,0,0,2.036e-16
0,1,1,0,5.7e-60
0,1,1,0,7.782e-20
0.158,0.842,0.994,0.436338491771837,0.011
0,1,1,0,1.75e-20
0.198,0.802,0.983,0.497617303395674,0.0168
0.313,0.687,0.343,0.621480021586315,0.0348
0,1,0,0,3.224e-29
0.009,0.991,0.01,0.051354154265093,0.0002101
0,1,0,0,1.078e-45
0,1,1,0,1.445e-09
0,1,1,0,8.787e-31
0,1,1,0,1.43e-29
0,1,1,0,3.419e-09
