p0,p1,post_mu2_gt_m1,H,pvalue1
0,1,0,0,2.665e-06
0,1,0,0,7.062e-07
0.087,0.913,0.998,0.295541413675982,0.00596
0,1,0,0,3.798e-51
0.056,0.944,0.999,0.215816483459616,0.00294
0,1,0,0,1.491e-05
0.012,0.988,1,0.0650018938097877,5.202e-05
0,1,1,0,4.14e-07
0.661,0.339,0.924,0.6403699544382,0.435
0.001,0.999,1,0.00790725511223209,0.0003069
0.693,0.307,0.795,0.616679231034265,0.707
0,1,0,0,2.22e-09
0,1,0,0,6.044e-19
0.114,0.886,0.998,0.354797437629063,0.0071
0,1,1,0,2.657e-06
0,1,1,0,1.878e-23
0,1,1,0,2.795e-20
0,1,1,0,4.309e-14
0.001,0.999,0.999,0.00790725511223209,3.528e-05
0,1,1,0,1.903e-07
0.764,0.236,0.892,0.546425182072871,0.81
0,1,0,0,1.842e-10
0,1,0,0,9.586e-13
0,1,1,0,2.247e-10
0.001,0.999,0.999,0.00790725511223209,3.439e-05
0.064,0.936,0.067,0.237834675664092,0.00251
0,1,1,0,5.026e-15
0,1,1,0,7.914e-11
0.19,0.81,0.984,0.486222964661792,0.00915
0,1,0,0,1.591e-08
0,1,1,0,6.281e-23
0.002,0.998,1,0.0144272148621761,0.0001206
0.465,0.535,0.97,0.690695175794653,0.0729
0.289,0.711,0.315,0.60125386852754,0.0334
0,1,1,0,1.546e-50
0.201,0.799,0.986,0.501785596795009,0.0169
0,1,1,0,8.611e-30
0,1,0,0,1.111e-09
0,1,1,0,3.222e-07
0,1,0,0,6.024e-22
0,1,1,0,4.916e-08
0.403,0.597,0.427,0.67420932782224,0.042
0.424,0.576,0.461,0.681550281402953,0.063
0.758,0.242,0.913,0.553374342935301,0.761
0.107,0.893,0.994,0.340196776971999,0.00634
0.563,0.437,0.876,0.685188042082719,0.412
0,1,1,0,4.027e-62
0,1,0,0,1.831e-36
0.303,0.697,0.336,0.613384807612713,0.0375
0.675,0.325,0.89,0.630581028386015,0.563
0,1,0,0,2.26e-07
0,1,1,0,1.269e-16
0,1,1,0,1.267e-17
0,1,0,0,9.864e-28
0.014,0.986,0.999,0.0736633107293249,0.0009489
0.023,0.977,0.999,0.109495452969968,0.0005826
0,1,1,0,4.928e-19
0.495,0.505,0.528,0.693097179726579,0.0981
0,1,1,0,2.89e-08
0,1,1,0,3.258e-22
0,1,1,0,1.462e-12
0.11,0.89,0.993,0.346515336918666,0.00798
0,1,1,0,1.899e-12
0,1,1,0,1.522e-06
0.418,0.582,0.447,0.679638239607092,0.0635
0.694,0.306,0.84,0.615862697192986,0.979
0.28,0.72,0.987,0.592953317447474,0.0242
0,1,1,0,9.814e-20
0,1,0,0,7.806e-08
0,1,1,0,1.15e-12
0,1,0,0,1.184e-05
0,1,0,0,7.405e-09
0,1,0,0,4.541e-05
0,1,1,0,1.015e-42
0.093,0.907,0.995,0.309424323864455,0.00554
0.651,0.349,0.708,0.646825401055711,0.262
0,1,1,0,4.339e-11
0.713,0.287,0.923,0.599443630303733,0.485
0.009,0.991,0.009,0.051354154265093,0.000628
0.01,0.99,0.999,0.0560015343548473,0.0003102
0.112,0.888,0.992,0.350676497620039,0.00158
0.002,0.998,0.002,0.0144272148621761,2.328e-05
0,1,1,0,3.347e-26
0,1,1,0,1.484e-58
0,1,1,0,1.81e-06
0.675,0.325,0.881,0.630581028386015,0.765
0,1,1,0,8.952e-06
0,1,1,0,7.708e-11
0.007,0.993,0.007,0.0417083585418935,0.0001227
0.567,0.433,0.616,0.684142117543424,0.164
0,1,1,0,5.883e-15
0.582,0.418,0.653,0.679638239607092,0.253
0,1,0,0,1.419e-27
0.766,0.234,0.923,0.544064595967142,0.683
0,1,0,0,6.467e-36
0.177,0.823,0.984,0.466813823159341,0.0124
0.749,0.251,0.853,0.563431092605662,0.928
0,1,1,0,9.681e-08
0.399,0.601,0.431,0.672604117987422,0.052
0.628,0.372,0.678,0.660011540650498,0.197
0,1,0,0,1.683e-09
0,1,0,0,4.918e-09
0,1,1,0,1.917e-61
0.029,0.971,0.998,0.131248699201653,0.0009283
0.643,0.357,0.954,0.651672547202017,0.233
0,1,0,0,1.709e-12
0.687,0.313,0.91,0.621480021586315,0.457
0,1,0,0,3.066e-08
0,1,1,0,9.85e-20
0,1,1,0,3.976e-27
0.006,0.994,1,0.0366779387501341,0.0003411
0.027,0.973,1,0.124153971633037,0.00121
0,1,0,0,1.5e-05
0.622,0.378,0.93,0.663076535354163,0.308
0,1,1,0,9.717e-57
0.633,0.367,0.675,0.657339703528846,0.186
0,1,0,0,5.461e-16
0.127,0.873,0.988,0.380643778753923,0.00737
0.548,0.452,0.588,0.688532076450456,0.127
0.726,0.274,0.92,0.587196867069004,0.552
0.038,0.962,0.038,0.161535103372125,0.0008542
0.614,0.386,0.954,0.666925168486367,0.211
0,1,1,0,4.474e-06
0,1,1,0,1.71e-12
0.657,0.343,0.75,0.643005335459831,0.507
0.673,0.327,0.823,0.632033696247833,0.911
0.003,0.997,0.003,0.0204229244641799,3.652e-07
0,1,0,0,4.321e-06
0,1,0,0,7.687e-07
0,1,1,0,2.55e-08
0,1,0,0,4.783e-15
0,1,0,0,5.939e-62
0,1,1,0,1.061e-21
0,1,0,0,8.405e-09
0.367,0.633,0.384,0.657339703528846,0.043
0.75,0.25,0.863,0.562335144618808,0.823
0,1,0,0,1.167e-11
0.028,0.972,0.03,0.127719710761685,0.00238
0,1,0,0,1.201e-17
0.765,0.235,0.833,0.54524767028096,0.585
0.554,0.446,0.951,0.687303789923193,0.145
0.677,0.323,0.823,0.629110126819609,0.822
0,1,0,0,3.616e-73
0.242,0.758,0.971,0.553374342935301,0.0125
0,1,0,0,1.423e-33
0.002,0.998,0.002,0.0144272148621761,0.0001057
0,1,0,0,4.321e-18
0,1,0,0,1.917e-17
0,1,0,0,2.245e-13
0.721,0.279,0.928,0.592006373871528,0.543
0.022,0.978,0.023,0.105723887714203,0.0001948
0,1,1,0,3.49e-09
0,1,0,0,1.268e-09
0.672,0.328,0.927,0.632753210600581,0.365
0,1,0,0,2.844e-13
0,1,0,0,3.48e-17
0,1,1,0,1.081e-33
0,1,1,0,2.752e-13
0,1,0,0,3.152e-18
0.364,0.636,0.398,0.655684984878046,0.0538
0.014,0.986,1,0.0736633107293249,0.0002767
0,1,0,0,2.748e-13
0,1,1,0,2.008e-11
0.562,0.438,0.621,0.685439356596999,0.181
0,1,0,0,7.176e-41
0.615,0.385,0.686,0.666458900580332,0.298
0.728,0.272,0.848,0.585237953862438,0.913
0,1,1,0,2.339e-53
0,1,0,0,6.271e-06
0,1,0,0,2.581e-05
0.034,0.966,0.999,0.148382757295895,0.0007857
0,1,0,0,1.729e-08
0,1,0,0,4.766e-16
0.106,0.894,1,0.338069772001136,0.00302
0,1,0,0,9.179e-29
0.122,0.878,0.127,0.370891002313047,0.00219
0,1,1,0,3.106e-28
0.126,0.874,0.992,0.378711510383313,0.00557
0.75,0.25,0.904,0.562335144618808,0.731
0,1,0,0,2.623e-50
0,1,0,0,3.877e-05
0,1,0,0,5.141e-06
0,1,0,0,5.528e-30
0,1,1,0,1.777e-05
0,1,0,0,2.649e-64
0,1,1,0,1.271e-23
0.655,0.345,0.755,0.644296375765228,0.486
0,1,0,0,9.756e-15
0,1,0,0,6.45e-14
0,1,0,0,3.726e-09
0,1,0,0,1.706e-07
0.056,0.944,0.06,0.215816483459616,0.00166
0.306,0.694,0.328,0.615862697192986,0.0336
0.046,0.954,0.997,0.186564632181973,0.00174
0.007,0.993,0.007,0.0417083585418935,7.099e-05
0.26,0.74,0.277,0.57305691713142,0.0226
0.756,0.244,0.852,0.555646951618869,0.824
0,1,1,0,8.649e-09
0,1,0,0,1.593e-06
0,1,0,0,1.962e-20
0,1,1,0,1.749e-10
0,1,1,0,2.154e-37
0.015,0.985,1,0.0778825094110964,6.071e-05
0,1,1,0,1.833e-06
0.726,0.274,0.791,0.587196867069004,0.408
0.504,0.496,0.557,0.693115180218603,0.122
0.247,0.753,0.264,0.559015243301707,0.02
0.653,0.347,0.96,0.645569714923067,0.221
0.641,0.359,0.707,0.652840659628696,0.307
0.127,0.873,0.993,0.380643778753923,0.00619
0,1,0,0,1.375e-17
0,1,0,0,8.41e-06
0,1,0,0,8.008e-13
0,1,0,0,3.303e-14
0.367,0.633,0.978,0.657339703528846,0.0502
0,1,0,0,3.073e-07
0.039,0.961,0.04,0.16475296776263,0.00148
0.542,0.458,0.956,0.689615019877552,0.16
0,1,1,0,6.683e-29
0.041,0.959,0.996,0.171109283434043,0.00578
0.79,0.21,0.878,0.513956670617226,0.863
0,1,0,0,1.111e-13
0.042,0.958,0.044,0.174248983718151,0.00231
0,1,1,0,3.25e-07
0,1,1,0,2.275e-30
0.211,0.789,0.217,0.515278585671292,0.0152
0,1,0,0,3.78e-64
0.009,0.991,1,0.051354154265093,0.0003185
0,1,0,0,1.246e-59
0.623,0.377,0.684,0.662576362109654,0.248
0,1,0,0,1.551e-25
0,1,0,0,2.179e-07
0,1,0,0,7.381e-10
0,1,1,0,7.159e-29
0,1,1,0,8.792e-10
0,1,1,0,2.134e-28
0,1,1,0,2.791e-07
0.784,0.216,0.886,0.521798470967638,0.873
0.726,0.274,0.826,0.587196867069004,0.698
0.015,0.985,0.016,0.0778825094110964,0.0004239
0,1,0,0,2.734e-11
0.294,0.706,0.312,0.605694469714336,0.0261
0,1,0,0,2.458e-11
0,1,0,0,1.008e-34
0.009,0.991,1,0.051354154265093,0.0002578
0,1,1,0,1.115e-16
0,1,1,0,9.667e-11
0.139,0.861,0.984,0.403144033964695,0.0102
0,1,0,0,1.391e-09
0.429,0.571,0.98,0.683031022048436,0.0625
0,1,1,0,1.723e-27
0.001,0.999,1,0.00790725511223209,1.953e-05
0,1,0,0,4.699e-13
0,1,0,0,2.91e-17
0.754,0.246,0.887,0.557897875664777,0.863
0.576,0.424,0.638,0.681550281402954,0.257
0,1,0,0,8.191e-15
0,1,0,0,1.324e-13
0.295,0.705,0.985,0.606568097879241,0.0285
0,1,1,0,3.474e-10
0.219,0.781,0.228,0.525639378127529,0.0248
0,1,1,0,7.687e-60
0,1,1,0,1.719e-18
0.117,0.883,0.991,0.360904776477503,0.00672
0,1,0,0,3.764e-21
0.228,0.772,0.242,0.536848402961397,0.0227
0.048,0.952,0.998,0.192583717337179,0.0009224
0,1,1,0,1.23e-09
0,1,1,0,6.161e-25
0,1,0,0,4.748e-12
0,1,1,0,2.513e-14
0.527,0.473,0.962,0.691688471144155,0.109
0.723,0.277,0.907,0.590097562147457,0.581
0,1,0,0,6.395e-07
0.761,0.239,0.841,0.549924504737763,0.652
0,1,0,0,4.46e-33
0,1,1,0,1.26e-98
0,1,1,0,1.182e-19
0,1,0,0,2.715e-23
0,1,1,0,3.271e-23
0.681,0.319,0.862,0.626113386705954,0.853
0,1,1,0,3.68e-10
0,1,0,0,1.136e-13
0,1,0,0,6.564e-11
0.702,0.298,0.928,0.609160170377407,0.51
0,1,0,0,6.488e-38
0,1,0,0,3.98e-34
0,1,0,0,1.77e-17
0,1,0,0,2.708e-07
0.046,0.954,0.05,0.186564632181973,0.00179
0,1,1,0,3.389e-05
0.631,0.369,0.948,0.658421318067677,0.187
0.745,0.255,0.885,0.567761832273967,0.985
0,1,1,0,1.647e-21
0,1,1,0,2.618e-27
0,1,0,0,5.018e-13
0,1,1,0,9.873e-19
0.771,0.229,0.88,0.538065204150889,0.931
0.671,0.329,0.768,0.633468188072331,0.536
0,1,0,0,5.653e-25
0.195,0.805,0.21,0.493392331740263,0.0151
0,1,0,0,3.067e-17
0,1,1,0,8.441e-06
0,1,1,0,1.218e-14
0,1,0,0,1.412e-20
0,1,1,0,1.852e-07
0.086,0.914,0.996,0.293184269195242,0.00391
0.012,0.988,0.013,0.0650018938097877,0.0001635
0.608,0.392,0.912,0.669634309548846,0.28
0,1,1,0,3.315e-20
0,1,1,0,4.653e-38
0.693,0.307,0.933,0.616679231034265,0.339
0,1,1,0,3.739e-16
0.287,0.713,0.309,0.599443630303733,0.0426
0.013,0.987,0.015,0.0693716084142908,0.0008571
0.726,0.274,0.846,0.587196867069004,0.655
0.688,0.312,0.812,0.620691563887438,0.731
0,1,1,0,6.742e-46
0,1,0,0,2.401e-08
0,1,1,0,1.922e-11
0.041,0.959,0.047,0.171109283434043,0.00294
0.166,0.834,0.994,0.449486648547756,0.0104
0.778,0.222,0.871,0.529427664395702,0.758
0.001,0.999,0.999,0.00790725511223209,5.973e-05
0,1,0,0,1.163e-12
0,1,1,0,2.187e-74
0,1,1,0,1.004e-20
0.761,0.239,0.938,0.549924504737763,0.52
0.337,0.663,0.983,0.639025512960164,0.0366
0.009,0.991,1,0.051354154265093,0.0002396
0,1,0,0,3.5e-19
0.262,0.738,0.98,0.575138476441581,0.0302
0,1,0,0,6.374e-06
0.441,0.559,0.463,0.686168933416378,0.0631
0,1,1,0,9.446e-06
0,1,1,0,6.566e-26
0,1,1,0,1.674e-07
0,1,0,0,2.345e-24
0,1,1,0,4.903e-16
0.613,0.387,0.956,0.667387217050714,0.222
0,1,1,0,4.332e-07
0,1,0,0,7.485e-10
0,1,1,0,1.731e-19
0,1,0,0,1.874e-12
0.001,0.999,0.001,0.00790725511223209,9.328e-06
0.622,0.378,0.691,0.663076535354163,0.331
0.014,0.986,0.014,0.0736633107293249,0.000196
0.498,0.502,0.962,0.693139180538612,0.108
0.005,0.995,0.006,0.0314790659471667,0.0005188
0,1,0,0,3.79e-42
0.703,0.297,0.941,0.608300938814838,0.307
0.72,0.28,0.892,0.592953317447474,0.638
0,1,1,0,9.216e-16
0.043,0.957,0.043,0.177363828386837,0.00135
0.704,0.296,0.864,0.607436917766953,0.987
0,1,0,0,9.669e-06
0.605,0.395,0.653,0.670932184737535,0.23
0.013,0.987,1,0.0693716084142908,3.561e-05
0,1,0,0,1.349e-18
0,1,0,0,2.356e-06
0,1,1,0,1.498e-08
0.626,0.374,0.926,0.66105027844044,0.302
0.474,0.526,0.522,0.691794570598635,0.0918
0.006,0.994,0.006,0.0366779387501341,0.0005194
0.727,0.273,0.91,0.586219929729774,0.587
0,1,0,0,1.344e-14
0.018,0.982,1,0.0901499225359206,8.911e-05
0.706,0.294,0.942,0.605694469714336,0.281
0.687,0.313,0.732,0.621480021586315,0.273
0.648,0.352,0.699,0.648675933935333,0.197
0,1,0,0,1.2e-10
0,1,1,0,1.706e-08
0.052,0.948,0.058,0.204362537478142,0.00309
0,1,0,0,1.418e-09
0.301,0.699,0.319,0.611709220471292,0.022
0.697,0.303,0.918,0.613384807612713,0.445
0,1,1,0,7.397e-14
0,1,1,0,1.573e-08
0.59,0.41,0.922,0.676858546734951,0.26
0,1,1,0,1.446e-36
0,1,0,0,4.547e-10
0,1,1,0,1.664e-06
0.24,0.76,0.987,0.551079928086973,0.0191
0.01,0.99,1,0.0560015343548473,0.0003527
0,1,1,0,2.881e-07
0.057,0.943,0.059,0.218631852192217,0.00124
0,1,0,0,1e-11
0.109,0.891,0.114,0.344419474942669,0.00663
0.55,0.45,0.924,0.688138813713588,0.204
0,1,1,0,4.414e-16
0,1,1,0,2.767e-66
0.002,0.998,0.999,0.0144272148621761,0.0001027
0,1,0,0,2.715e-16
0,1,0,0,3.005e-10
0.675,0.325,0.821,0.630581028386015,0.837
0.47,0.53,0.932,0.691346099001739,0.12
0,1,1,0,1.724e-05
0,1,0,0,2.65e-08
0,1,0,0,1.785e-19
0.007,0.993,1,0.0417083585418935,0.0001381
0.51,0.49,0.952,0.692947167224478,0.104
0,1,1,0,4.187e-44
0.492,0.508,0.969,0.693019175098053,0.0983
0,1,1,0,8.025e-39
0,1,0,0,6.964e-07
0,1,0,0,2.806e-17
0.672,0.328,0.93,0.632753210600581,0.331
0.686,0.314,0.806,0.622263828786988,0.714
0,1,0,0,7.887e-27
0,1,0,0,3.68e-19
0.268,0.732,0.984,0.581259431985547,0.0275
0,1,1,0,2.456e-07
0,1,1,0,1.14e-41
0,1,0,0,9.993e-36
0.707,0.293,0.932,0.604816023751259,0.377
0.751,0.249,0.856,0.56123386328756,0.742
0.632,0.368,0.929,0.657882660635157,0.256
0,1,0,0,2.559e-07
0.065,0.935,0.067,0.240509101553998,0.00259
0,1,0,0,1.582e-15
0.022,0.978,0.023,0.105723887714203,0.00102
0.006,0.994,0.006,0.0366779387501341,0.0001202
0.674,0.326,0.817,0.631309637901695,0.808
0,1,1,0,5.723e-61
0,1,0,0,7.976e-26
0.48,0.52,0.531,0.692346967089961,0.0951
0,1,0,0,1.298e-28
0.033,0.967,0.036,0.145020584350408,0.00226
0.002,0.998,0.002,0.0144272148621761,2.756e-05
0.712,0.288,0.896,0.600351187777658,0.621
0.024,0.976,0.998,0.113222502714608,0.0009021
0,1,1,0,8.564e-08
0,1,1,0,3.62e-07
0,1,0,0,6.639e-43
0,1,0,0,1.767e-12
0,1,1,0,3.886e-07
0,1,1,0,6.33e-36
0,1,0,0,7.867e-05
0,1,0,0,1.72e-06
0.038,0.962,0.998,0.161535103372125,0.0007038
0,1,0,0,2.98e-16
0,1,1,0,1.771e-05
0.778,0.222,0.924,0.529427664395702,0.704
0.4,0.6,0.984,0.673011667009257,0.0459
0,1,1,0,4.232e-09
0.728,0.272,0.822,0.585237953862438,0.618
0,1,1,0,5.393e-08
0,1,0,0,1.14e-25
0,1,1,0,1.241e-24
0.006,0.994,0.007,0.0366779387501341,0.0004052
0.5,0.5,0.926,0.693147180559945,0.118
0.752,0.248,0.894,0.560127234322942,0.771
0,1,0,0,1.125e-24
0,1,0,0,4.607e-32
0.002,0.998,0.002,0.0144272148621761,2.234e-05
0.023,0.977,0.024,0.109495452969968,0.0002834
0,1,1,0,8.709e-06
0.065,0.935,0.998,0.240509101553998,0.00354
0,1,1,0,4.028e-29
0,1,0,0,2.396e-11
0.048,0.952,0.997,0.192583717337179,0.00147
0.151,0.849,0.993,0.42443977444475,0.00994
0.372,0.628,0.977,0.660011540650498,0.033
0,1,1,0,3.084e-09
0,1,1,0,7.072e-10
0.003,0.997,1,0.0204229244641799,7.819e-05
0,1,1,0,1.221e-25
0.474,0.526,0.52,0.691794570598635,0.115
0.387,0.613,0.979,0.667387217050714,0.0438
0.01,0.99,0.011,0.0560015343548473,0.0002239
0.02,0.98,0.998,0.098039113279732,0.0003024
0,1,1,0,4.482e-26
0,1,1,0,1.382e-06
0.694,0.306,0.897,0.615862697192986,0.584
0.499,0.501,0.528,0.693145180558612,0.082
0,1,0,0,4.448e-31
0,1,1,0,3.29e-27
0,1,1,0,8.217e-08
0,1,0,0,2.884e-15
0.143,0.857,0.154,0.410372200616673,0.0106
0,1,0,0,4.192e-14
0,1,1,0,1.625e-29
0,1,1,0,6.57e-07
0,1,1,0,4.471e-06
0.392,0.608,0.422,0.669634309548846,0.0564
0,1,0,0,6.613e-25
0,1,0,0,4.535e-07
0,1,0,0,8.224e-23
0.661,0.339,0.869,0.6403699544382,0.598
0.326,0.674,0.986,0.631309637901695,0.0318
0.127,0.873,0.989,0.380643778753923,0.00731
0.014,0.986,0.999,0.0736633107293249,0.0009771
0.616,0.384,0.851,0.665988409251802,0.888
0.023,0.977,0.998,0.109495452969968,0.0006147
0.039,0.961,0.996,0.16475296776263,0.00131
0.003,0.997,0.003,0.0204229244641799,0.0003598
0.046,0.954,0.999,0.186564632181973,2.476e-05
0,1,0,0,8.696e-25
0,1,0,0,5.249e-33
0,1,1,0,2.712e-23
0.562,0.438,0.967,0.685439356596999,0.13
0,1,0,0,9.838e-14
0,1,0,0,5.764e-25
0,1,0,0,5.267e-05
0.018,0.982,0.999,0.0901499225359206,0.00119
0,1,0,0,3.401e-10
0,1,0,0,3.33e-10
0.719,0.281,0.88,0.593895300697922,0.764
0.464,0.536,0.497,0.690552936415205,0.0913
0.078,0.922,0.998,0.273857294381169,0.00353
0,1,1,0,1.871e-26
0.012,0.988,0.013,0.0650018938097877,0.0002803
0,1,1,0,2.692e-05
0,1,1,0,1.81e-08
0,1,1,0,2.614e-09
0,1,1,0,6.791e-12
0.125,0.875,0.99,0.376770161256437,0.00721
0,1,1,0,6.674e-13
0,1,1,0,6.16e-10
0,1,0,0,2.913e-11
0.787,0.213,0.894,0.517904416181533,0.977
0.505,0.495,0.535,0.693097179726579,0.0949
0.523,0.477,0.577,0.692088807122444,0.175
0.448,0.552,0.489,0.687729389315267,0.0978
0,1,1,0,1.996e-13
0.221,0.779,0.237,0.528170717213401,0.0303
0,1,0,0,4.378e-09
0.725,0.275,0.839,0.588168777354191,0.837
0,1,0,0,2.467e-06
0,1,0,0,1.341e-18
0.603,0.397,0.663,0.67177650592283,0.21
0.69,0.31,0.798,0.619100664425587,0.734
0,1,1,0,2.873e-20
0.195,0.805,0.217,0.493392331740263,0.016
0.007,0.993,0.007,0.0417083585418935,1.379e-05
0,1,1,0,1.111e-16
0.024,0.976,0.998,0.113222502714608,0.00188
0,1,1,0,2.421e-06
0,1,1,0,2.4e-20
0.172,0.828,0.183,0.459043337139228,0.0132
0,1,0,0,1.594e-06
0,1,0,0,8.313e-18
0,1,1,0,6.245e-05
0,1,1,0,5.981e-07
0,1,1,0,1.568e-08
0.663,0.337,0.931,0.639025512960164,0.378
0.643,0.357,0.75,0.651672547202017,0.495
0.002,0.998,1,0.0144272148621761,1.88e-05
0,1,0,0,5.591e-65
0,1,1,0,6.757e-17
0,1,1,0,5.951e-07
0,1,1,0,3.264e-17
0.007,0.993,0.007,0.0417083585418935,0.0001903
0,1,0,0,4.863e-34
0,1,0,0,1.574e-15
0.368,0.632,0.988,0.657882660635157,0.0356
0,1,0,0,6.006e-11
0,1,1,0,5.348e-46
0.378,0.622,0.973,0.663076535354163,0.0349
0.664,0.336,0.967,0.638346581982148,0.21
0.218,0.782,0.229,0.524364948187682,0.011
0.57,0.43,0.939,0.683314913574166,0.176
0.241,0.759,0.26,0.552229868967606,0.0239
0,1,1,0,1.188e-32
0.138,0.862,0.146,0.401316227118339,0.0142
0,1,1,0,1.233e-10
0.314,0.686,0.33,0.622263828786988,0.0229
0,1,1,0,3.847e-08
0,1,0,0,3.464e-10
0.732,0.268,0.814,0.581259431985547,0.64
0.365,0.635,0.382,0.656240870627669,0.048
0.003,0.997,1,0.0204229244641799,3.692e-05
0.014,0.986,1,0.0736633107293249,0.0003135
0,1,1,0,3.38e-19
0.009,0.991,0.009,0.051354154265093,0.0009609
0,1,0,0,1.939e-29
0,1,0,0,3.26e-28
0,1,1,0,3.209e-16
0,1,1,0,4.522e-33
0,1,1,0,1.056e-21
0.014,0.986,1,0.0736633107293249,0.0001899
0,1,1,0,6.41e-05
0,1,0,0,1.368e-06
0.222,0.778,0.24,0.529427664395702,0.0247
0.703,0.297,0.769,0.608300938814838,0.338
0.081,0.919,0.998,0.281204951008793,0.0044
0,1,0,0,6.714e-08
0.736,0.264,0.906,0.577199348367057,0.717
0.206,0.794,0.99,0.508608519981258,0.0126
0.108,0.892,0.991,0.342313316191353,0.00839
0,1,1,0,2.489e-18
0.003,0.997,0.999,0.0204229244641799,0.0002237
0.012,0.988,0.012,0.0650018938097877,3.102e-06
0.002,0.998,1,0.0144272148621761,0.0001409
0.095,0.905,0.996,0.313955850231653,0.00858
0.055,0.945,0.999,0.212982197312764,0.00198
0,1,1,0,4.836e-10
0.675,0.325,0.785,0.630581028386015,0.599
0.545,0.455,0.969,0.689091695267987,0.102
0.727,0.273,0.857,0.586219929729774,0.784
0.208,0.792,0.22,0.511294736087238,0.0149
0.232,0.768,0.982,0.541681693698141,0.02
0.481,0.519,0.509,0.69242500669817,0.0844
0,1,1,0,8.642e-11
0.619,0.381,0.936,0.664551553267099,0.282
0.686,0.314,0.785,0.622263828786988,0.477
0,1,0,0,6.665e-18
0,1,1,0,8.72e-33
0,1,0,0,8.61e-31
0.632,0.368,0.94,0.657882660635157,0.257
0,1,0,0,5.063e-06
0,1,0,0,2.697e-11
0,1,0,0,1.606e-24
0,1,1,0,5.588e-10
0,1,0,0,2.234e-28
0,1,0,0,2.892e-12
0,1,0,0,1.586e-69
0,1,1,0,8.668e-26
0.119,0.881,0.127,0.364927814852091,0.00553
0,1,0,0,2.109e-62
0,1,1,0,1.59e-06
0,1,0,0,3.48e-18
0,1,0,0,1.72e-24
0,1,0,0,8.863e-33
0.678,0.322,0.917,0.628367820093249,0.474
0.006,0.994,0.999,0.0366779387501341,7.723e-05
0.1,0.9,0.11,0.325082973391448,0.00546
0.572,0.428,0.612,0.682743048203884,0.173
0.557,0.443,0.602,0.686635032212645,0.13
0,1,1,0,2.025e-17
0.026,0.974,0.999,0.120550159245749,0.0007778
0,1,1,0,3.584e-06
0.497,0.503,0.526,0.693129180451944,0.0869
0,1,1,0,7.532e-09
0.19,0.81,0.989,0.486222964661792,0.0185
0,1,1,0,1.837e-13
0.189,0.811,0.2,0.484769701248265,0.0125
0,1,0,0,6.415e-82
0,1,0,0,1.977e-07
0.024,0.976,0.998,0.113222502714608,0.0005105
0.406,0.594,0.456,0.675369580482422,0.0676
0.001,0.999,0.001,0.00790725511223209,0.00012
0,1,0,0,1.492e-10
0.689,0.311,0.861,0.619898447565985,0.886
0.137,0.863,0.145,0.399480013738686,0.00961
0,1,1,0,1.997e-12
0,1,0,0,1.445e-21
0,1,0,0,2.511e-12
0,1,0,0,1.412e-14
0,1,1,0,1.99e-06
0.55,0.45,0.608,0.688138813713588,0.165
0.639,0.361,0.706,0.653991389676722,0.317
0.439,0.561,0.961,0.685686608643904,0.0739
0,1,1,0,5.866e-06
0.009,0.991,1,0.051354154265093,0.0003959
0.326,0.674,0.354,0.631309637901695,0.0392
0,1,1,0,1.425e-05
0.084,0.916,0.991,0.288431677837795,0.00634
0.747,0.253,0.892,0.56560704503986,0.735
0.187,0.813,0.982,0.481843575567959,0.00681
0,1,0,0,1.081e-05
0.728,0.272,0.912,0.585237953862438,0.596
0,1,0,0,3.995e-27
0.666,0.334,0.781,0.63697526674802,0.658
0,1,0,0,2.927e-15
0,1,1,0,2.047e-26
0.614,0.386,0.679,0.666925168486367,0.225
0,1,0,0,1.028e-28
0.553,0.447,0.956,0.687518612348021,0.199
0,1,0,0,1.063e-58
0,1,0,0,1.678e-34
0.712,0.288,0.841,0.600351187777658,0.685
0.669,0.331,0.93,0.634884560506544,0.326
0,1,0,0,4.212e-09
0,1,1,0,4.95e-38
0,1,1,0,1.085e-12
0,1,0.999,0,6.486e-05
0,1,0,0,1.142e-25
0,1,0,0,1.998e-22
0,1,0,0,3.483e-22
0.074,0.926,0.077,0.263864920802666,0.00323
0.637,0.363,0.713,0.655124779544528,0.368
0,1,0,0,2.769e-54
0.486,0.514,0.963,0.692755129322542,0.113
0.293,0.707,0.971,0.604816023751259,0.0128
0,1,0,0,2.265e-05
0.488,0.512,0.546,0.692859152905573,0.136
0.672,0.328,0.856,0.632753210600581,0.895
0.756,0.244,0.909,0.555646951618869,0.729
0,1,1,0,4.557e-07
0,1,0,0,9.31e-09
0.084,0.916,0.997,0.288431677837795,0.0007374
0.558,0.442,0.605,0.686404010095023,0.107
0,1,0,0,1.059e-32
0,1,1,0,6.933e-08
0.004,0.996,0.004,0.0260778329833977,5.575e-05
0.365,0.635,0.381,0.656240870627669,0.0383
0.441,0.559,0.965,0.686168933416378,0.0907
0.217,0.783,0.23,0.523084652303058,0.0151
0,1,0,0,2.979e-18
0.013,0.987,0.998,0.0693716084142908,0.0005023
0,1,1,0,1.546e-09
0.499,0.501,0.963,0.693145180558612,0.0823
0.209,0.791,0.215,0.512628727817277,0.0177
0.025,0.975,0.999,0.116906849137531,0.0007703
0.047,0.953,0.998,0.18958533851931,0.00164
0.008,0.992,1,0.0465944242221046,0.0001715
0,1,0,0,7.652e-14
0,1,0,0,3.427e-12
0,1,0,0,8.184e-11
0,1,1,0,6.386e-07
